t;w;x;y;z;ax;ay;az
9308;0.00;0.04;-1.00;0.00;62;-59;-8694
9325;0.00;0.04;-1.00;0.00;60;-57;-8692
9343;0.00;0.04;-1.00;0.00;54;-59;-8687
9361;0.00;0.04;-1.00;0.00;53;-60;-8689
9376;0.00;0.04;-1.00;0.00;54;-58;-8680
9394;0.00;0.04;-1.00;0.00;55;-56;-8684
9412;0.00;0.04;-1.00;0.00;59;-55;-8689
9429;0.00;0.04;-1.00;0.00;59;-54;-8689
9447;0.00;0.04;-1.00;0.00;62;-54;-8687
9465;0.00;0.04;-1.00;0.00;59;-58;-8693
9488;0.00;0.04;-1.00;0.00;60;-60;-8695
9504;0.00;0.04;-1.00;0.00;61;-57;-8694
9521;0.00;0.04;-1.00;0.00;63;-54;-8697
9541;0.00;0.04;-1.00;0.00;63;-54;-8703
9558;0.00;0.04;-1.00;0.00;62;-54;-8704
9576;0.00;0.04;-1.00;0.00;58;-55;-8707
9593;0.00;0.04;-1.00;0.00;58;-55;-8709
9611;0.00;0.04;-1.00;0.00;56;-56;-8700
9628;0.00;0.04;-1.00;0.00;57;-56;-8699
9644;0.00;0.04;-1.00;0.00;56;-59;-8703
9662;0.00;0.04;-1.00;0.00;61;-63;-8699
9679;0.00;0.04;-1.00;0.00;64;-58;-8694
9697;0.00;0.04;-1.00;0.00;64;-56;-8704
9713;0.00;0.04;-1.00;0.00;62;-59;-8700
9741;0.00;0.04;-1.00;0.00;60;-55;-8692
9758;0.00;0.04;-1.00;0.00;63;-51;-8694
9781;0.00;0.04;-1.00;0.00;65;-54;-8688
9833;0.00;0.04;-1.00;0.00;61;-60;-8689
9848;0.00;0.04;-1.00;0.00;61;-61;-8702
9865;0.00;0.04;-1.00;0.00;61;-58;-8701
9882;0.00;0.04;-1.00;0.00;64;-55;-8701
9900;0.00;0.04;-1.00;0.00;62;-60;-8701
9917;0.00;0.04;-1.00;0.00;60;-59;-8696
9933;0.00;0.04;-1.00;0.00;55;-58;-8696
9951;0.00;0.04;-1.00;0.00;56;-57;-8696
9969;0.00;0.04;-1.00;0.00;56;-58;-8694
9986;0.00;0.04;-1.00;0.00;54;-60;-8696
10002;0.00;0.04;-1.00;0.00;54;-60;-8697
10019;0.00;0.04;-1.00;0.00;59;-60;-8703
10042;0.00;0.04;-1.00;0.00;61;-63;-8698
10058;0.00;0.04;-1.00;0.00;58;-64;-8702
10074;0.00;0.04;-1.00;0.00;55;-63;-8699
10092;0.00;0.04;-1.00;0.00;57;-58;-8698
10110;0.00;0.04;-1.00;0.00;60;-58;-8699
10127;0.00;0.04;-1.00;0.00;59;-56;-8702
10143;0.00;0.04;-1.00;0.00;64;-59;-8699
10162;0.00;0.04;-1.00;0.00;64;-59;-8701
10180;0.00;0.04;-1.00;0.00;63;-59;-8697
10195;0.00;0.04;-1.00;0.00;60;-58;-8701
10212;0.00;0.04;-1.00;0.00;55;-60;-8703
10230;0.00;0.04;-1.00;0.00;51;-60;-8704
10261;0.00;0.04;-1.00;0.00;59;-48;-8691
10277;0.00;0.04;-1.00;0.00;59;-48;-8689
10295;0.00;0.04;-1.00;0.00;58;-49;-8690
10313;0.00;0.04;-1.00;0.00;63;-51;-8696
10330;0.00;0.04;-1.00;0.00;60;-54;-8700
10346;0.00;0.04;-1.00;0.00;57;-56;-8702
10363;0.00;0.04;-1.00;0.00;54;-55;-8705
10382;0.00;0.04;-1.00;0.00;51;-52;-8705
10399;0.00;0.04;-1.00;0.00;51;-55;-8696
10415;0.00;0.04;-1.00;0.00;49;-56;-8691
